imgname,context0,context1,context2,context3
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,1,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,1,1,0,0
dog.4039.jpg,0,0,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,1,1,0,0
dog.4005.jpg,1,1,0,0
dog.4005.jpg,1,1,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,1,0,1,0
dog.4005.jpg,1,1,0,0
dog.4005.jpg,1,1,0,0
dog.4005.jpg,1,1,1,0
dog.4005.jpg,1,1,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,1,1,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,1,1,0,0
dog.4005.jpg,0,0,0,0
dog.4005.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,1
dog.4011.jpg,1,1,0,0
dog.4011.jpg,0,0,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4011.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,1,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4788.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,1
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,1,1
dog.4038.jpg,1,1,0,1
dog.4038.jpg,1,1,0,1
dog.4038.jpg,1,1,0,1
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,1
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,0
dog.4038.jpg,1,1,0,1
dog.4038.jpg,1,1,0,1
dog.2248.jpg,0,0,0,0
dog.2248.jpg,0,0,0,0
dog.2248.jpg,1,0,0,1
dog.2248.jpg,0,0,0,0
dog.2248.jpg,1,0,0,1
dog.2248.jpg,1,1,0,0
dog.2248.jpg,0,0,0,0
dog.2248.jpg,1,0,0,1
dog.2248.jpg,1,1,0,0
dog.2248.jpg,0,0,0,0
dog.2248.jpg,1,1,0,0
dog.2248.jpg,0,0,0,0
dog.2248.jpg,1,0,0,1
dog.2248.jpg,1,1,0,1
dog.2248.jpg,0,0,0,0
dog.2248.jpg,1,0,0,1
dog.2248.jpg,0,0,0,0
dog.2248.jpg,0,0,0,0
dog.2248.jpg,0,0,0,0
dog.2248.jpg,0,0,0,0
dog.3142.jpg,1,1,0,1
dog.3142.jpg,0,0,0,0
dog.3142.jpg,1,1,0,1
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,0,0,0,0
dog.3142.jpg,1,0,0,1
dog.3142.jpg,1,0,0,1
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,0,0,0,0
dog.3142.jpg,1,1,0,0
dog.3142.jpg,1,1,0,0
dog.3181.jpg,1,0,1,0
dog.3181.jpg,0,0,0,0
dog.3181.jpg,1,1,0,0
dog.3181.jpg,1,1,0,0
dog.3181.jpg,1,0,1,0
dog.3181.jpg,0,0,0,0
dog.3181.jpg,1,0,1,0
dog.3181.jpg,1,0,1,0
dog.3181.jpg,1,1,1,1
dog.3181.jpg,0,0,0,0
dog.3181.jpg,1,1,0,0
dog.3181.jpg,0,0,0,0
dog.3181.jpg,1,0,1,1
dog.3181.jpg,0,0,0,0
dog.3181.jpg,1,0,1,0
dog.3181.jpg,1,1,1,0
dog.3181.jpg,0,0,0,0
dog.3181.jpg,0,0,0,0
dog.3181.jpg,0,0,0,0
dog.3181.jpg,1,0,1,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,1,0,1,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,1,0,0,1
dog.2076.jpg,0,0,0,0
dog.2076.jpg,1,0,1,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2076.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,1,0,0,1
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.2664.jpg,0,0,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,1
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.4995.jpg,1,1,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,1,1,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,1,0,1,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3976.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,1,1,0,1
dog.3989.jpg,1,1,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,1,1,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,1,1,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,1,1,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,1,1,0,0
dog.3989.jpg,0,0,0,0
dog.3989.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.4016.jpg,0,0,0,0
dog.2856.jpg,1,1,0,0
dog.2856.jpg,0,0,0,0
dog.2856.jpg,1,1,0,1
dog.2856.jpg,1,1,0,0
dog.2856.jpg,0,0,0,0
